date,favorite_count,favorited,id,language,retweet_count,text,user_created_at,user_description,user_followers,user_friends,user_location,user_screen_name
2021-07-24 17:09:49,0,False,1418981758683467783,en,0,"#Cheer4India
Boxing great M C Mary Kom and Indian hockey team skipper Manpreet Singh are the flag-bearers for the I… https://t.co/fZPjGV6QwE",2020-12-24 17:07:52,"mandal upadhyaksh...zilla Karol Bagh Media prabhari BJP
IT cell in mahila morcha teem Karol Bagh zilla
New Delhi",77.0,118,"New Delhi, India",SubodhiniG
2021-07-24 17:09:45,0,False,1418981744590692364,en,0,"#Cheer4India
The Indian Contingent gears up for Tokyo Olympics. India's participation in the Games is set to begin… https://t.co/YqJYb0mYiO",2020-12-24 17:07:52,"mandal upadhyaksh...zilla Karol Bagh Media prabhari BJP
IT cell in mahila morcha teem Karol Bagh zilla
New Delhi",77.0,118,"New Delhi, India",SubodhiniG
2021-07-24 17:09:44,0,False,1418981737602994180,en,0,@PMOIndia @narendramodi @mirabai_chanu @Tokyo2020 Boss it’s not BJP representing Olympics . It’s India and we are p… https://t.co/zA15MuTy89,2020-11-26 14:28:49,"Foodie , Traveller , cafe owner",12.0,125,,sashi76907786
2021-07-24 17:09:32,0,False,1418981688118415365,en,0,"Started with silver medal in Tokyo Olympics, know India’s schedule for Sunday https://t.co/bHaJ2IWBlJ via @palpalnewshub",2020-06-01 17:50:30,"Palpal News hub is a News generation news website. 360-degree modern journalism, authentic and fast news for the news-hungry generation.",16.0,77,,palpalnewshub
2021-07-24 17:09:22,0,False,1418981647417061376,en,0,"@Ak4715629382 Yes, tomorrow some good Fixtures,  &amp; one of this fight, Legend of Indian boxing she inspired lot of g… https://t.co/q0ZCzrvD0b",2010-01-26 13:29:50,"Fan Of Cricket🏏 & Football⚽️ | Ball by Ball Updates in IPL2021😊 | 
Pro Cricket Analyser😎 | Follow Me!🙏 + Dieheart FAN of SRK🎦!",3358.0,3591,,navsurani
2021-07-24 17:09:19,2,False,1418981633856843777,en,0,Congratulations #MirabaiChanu for achieving the first medal for India in this Olympics. We are proud of you.… https://t.co/Q5SsqdRRSp,2014-11-11 13:13:56,#entrepreneur,1523.0,481,"New Delhi, India",baat_aur_jzbaat
2021-07-24 17:09:02,0,False,1418981563841224706,en,0,"Whenever I see a post, 'a country of billion yet rarely a gold in #Olympics'. Ever thought about how much primary e… https://t.co/GtQYFt7mah",2016-09-24 09:03:07,"95' born. Pottermore.
Amity School of Communication.",30.0,302,"New Delhi, India",NiketanSeth
2021-07-24 17:08:33,0,False,1418981440088330240,en,0,"Congratulations #MirabaiChanu for achieving the first medal for India at Tokyo Olympics, we are proud of you!… https://t.co/xv4WI74a21",2013-03-05 09:01:59,Cadaver Transplantation Programme,118.0,51,Hyderabad,Jeevandants
2021-07-24 17:08:11,0,False,1418981349084516363,en,0,"Mera Bharat Mahan 🇮🇳Huge applause to Weightlifter Mirabai Chanu who won India's First Medal At Tokyo Olympics, Bags… https://t.co/of64tpanqB",2013-01-09 11:31:51,A corporate trainer and leadership coach. Rotarian for the last 11 years,375.0,145,"Mumbai, India",Girijadd
2021-07-24 17:08:05,1,False,1418981324229070852,en,0,"I congratulate Saikhom Mirabai Chanu, daughter of India, who has made all Indians proud by getting India's first Ol… https://t.co/bSB5nedJOV",2020-08-06 05:16:30,"हमें गर्व है, मैं इस देश का नागरिक हूं और साथ में @BJP4india कार्यकर्ता और @rssorg स्वयंसेवक हूं। 🇮🇳",582.0,139,"Chhatarpur, India",RamboChoubey
2021-07-24 17:07:59,0,False,1418981298014756865,en,0,Congratulations to @mirabai_chanu - you are one of the true heroes who lift the India to the unscaled heights and s… https://t.co/fnPoZXRO9y,2009-12-25 15:26:47,Spiritual Visionary #Digital #Innovation #AI #Robotic #IOT #AR #VR #Crypto #Cloud #SmartCity #CyberSecurity #Energy #Education #Health #Climate #FutureOfWork,1264.0,723,Global,sethusathya
2021-07-24 17:07:58,0,False,1418981292373315588,en,0,"@ianuragthakur @FinMinIndia @mirabai_chanu My 1st Prediction came correct 😀 *""Mirabai Chanu wins Silver Medal for I… https://t.co/deKUizzqOg",2021-03-14 05:52:33,Youtuber I Tennis Fan 🎾,2.0,10,Mumbai,KeyPointers
2021-07-24 17:07:40,0,False,1418981216804646923,en,0,"Hearty congratulations to ace Indian weightlifter 
@mirabai_chanu for winning a Silver Medal in the women’s weightl… https://t.co/YJ1ybfchFe",2021-01-03 03:30:16,"Worker Of TRS Party | Telangana Mahila Leader
#TRS #Telangana #TRSGOVT",0.0,8,Hyderabad,sirishatati1
2021-07-24 17:07:27,0,False,1418981164883365896,en,0,"Tokyo Olympics: As Team India marches holding the Tricolour in their hands, PM Modi stands up to cheer for them… https://t.co/xilFfa7YyU",2016-03-21 07:06:54,"i am a doctor,also a farmer,always try2change this Agyan,innocent people,not2take but2give&duty is my right,Editor,YUGABDA,state working president,human rights",702.0,1147,"Brahmapur/Bhubaneswar, india.",Subash2Dr
2021-07-24 17:07:26,0,False,1418981160907153410,en,0,"@latha_venkatesh @TamalBandyo My 1st Prediction came correct 😀 *""Mirabai Chanu wins Silver Medal for India"" !!!* 🎉🎉… https://t.co/Szgc6XXArJ",2021-03-14 05:52:33,Youtuber I Tennis Fan 🎾,2.0,10,Mumbai,KeyPointers
2021-07-24 17:06:57,0,False,1418981036122333185,en,0,"@TamalBandyo My 1st Prediction came correct 😀 *""Mirabai Chanu wins Silver Medal for India"" !!!* 🎉🎉🎉 Hearty Congratu… https://t.co/lmPaJE4KLe",2021-03-14 05:52:33,Youtuber I Tennis Fan 🎾,2.0,10,Mumbai,KeyPointers
2021-07-24 17:06:55,0,False,1418981029419835400,en,0,Congratulations to #MirabaiChanu for clinching a silver medal in the 49kg category weightlifting in… https://t.co/YiYuZv7IiB,2020-03-23 07:46:17,Official Twitter handle of Vice Chairperson of Punjab State Commission for Protection of Child Rights.,15.0,39,,SebiThomas64
2021-07-24 17:06:48,1,False,1418981002102378497,en,0,Mirabai Chanu who has won the 1st medal for India in the Olympics is a believer of Hindu Gods. She brought an idol… https://t.co/bjUEgv5hfg,2010-04-03 14:07:30,"M.P. Wali 🐝|
kavitaye likhne wali ladki ❤|
I sell books & I know Quotes!🤫|",781.0,861,"Gwalior, India",MadalishaTomar
2021-07-24 17:06:46,0,False,1418980992937779205,en,0,"Tokyo Olympics Day 3 LIVE updates: Manu Bhaker &amp; shooters to aim for medals, PV Sindhu, Mary Kom to start their cam… https://t.co/nIcW41nOMu",2012-07-08 16:58:09,Latest News #EndNigerianPoliceBrutality,1517.0,102,Nigeria,NewsDeyNigeria
2021-07-24 17:06:41,0,False,1418980969571405826,en,0,"#MirabaiChanu
#Olympics 
#MirabaiChanuWinsMedal 
I salute and my opinion of conditions of india Olympic system https://t.co/BNGVfVKHcZ",2020-08-24 08:39:11,journalist,15.0,49,,HanumanManmohan
2021-07-24 17:06:39,0,False,1418980961325240321,en,0,"Tokyo Olympics Hockey Updates: Indian women’s team lose to the Netherlands

#Hockey #India #IndiaAtTokyo2020… https://t.co/DzJZJj1cfh",2018-06-06 00:52:11,"News and Updates about Cricket, Football, Basketball, Tennis, Badminton, Boxing, WWE, MMA & others sports, etc. Stay tuned For everyday news & updates.",1504.0,1538,"Mumbai, India",SportsIndiaShow
2021-07-24 17:06:35,0,False,1418980947588915201,en,0,"Congratulations @mirabai_chanu on winning the @Olympics 1st 🏅 for India, wish you and everyone else all the very be… https://t.co/DfFYmXDTXm",2015-05-01 14:35:33,I just love Sports!!!!!!!!!!!!!! Especially Cricket!!!! and Sitcoms toooo!!!!!!!!,66.0,343,,vybhav1428
2021-07-24 17:06:22,1,False,1418980892312281093,en,0,"#IndiaAtOlympics
India’s first medal at the @Olympics 🇮🇳 
Congratulations @mirabai_chanu for winning the glorious s… https://t.co/oZsGBHc6fM",2020-08-24 08:35:41,Medical aspirant,31.0,18,West Bengal (Kolkata),DishaKirtania
2021-07-24 17:06:09,0,False,1418980835223605253,en,0,Manika Batra of India Defeated T. Ho of Great Britain by an Outstanding Score of 4-0 in the 1st Round of Table Tenn… https://t.co/cS2Dn1I3WP,2021-06-24 06:38:26,"News | Updates | Information
Quality Content
Vital Info.
Chill Env.
We keep you updated because we know you don't want to miss out!",13.0,0,India,MediaAdamo
2021-07-24 17:06:05,1,False,1418980818672889861,en,0,"Also guys, not a kpop tweet but I’m so proud of this woman who won the silver medal in the Tokyo Olympics and made… https://t.co/UZOus78XwS",2021-01-18 10:26:58,Eh?,71.0,113,,myouiiice
2021-07-24 17:05:51,0,False,1418980762146152448,en,0,"Watch ""Mirabai Chanu Tokyo Olympics से ले ही आईं Silver Medal । 49Kg Weightlifting । India in Olympics"" on YouTube https://t.co/CqdNmpXekp",2014-02-11 06:10:29,A BRAVE SOLDIER WHO SERVE FOR NATION BY CRPF,15.0,100,BHOPAL,jayprakash95
2021-07-24 17:05:01,0,False,1418980553307557888,en,0,@AMDRyzen Cheering India in Olympics,2020-03-24 15:18:18,"Happy Person :)
I love to do anything new, love to spend time with NATURE :))",3.0,80,,abhigna_g
2021-07-24 17:04:52,0,False,1418980513142951943,en,0,Tokyo Olympics 2020 Highlights: Mirabai Chanu Wins India's 1st Medal https://t.co/xe3FSud6lj,2021-07-14 14:33:01,,0.0,26,,SAURAVD71652688
2021-07-24 17:04:47,2,False,1418980494444748813,en,0,"As promised, New Post up: https://t.co/fWCgBIqsLU

A great start for India at Tokyo 2020! 
#Olympics #TeamIndia #weightlifting",2013-08-09 16:36:24,SJC '21,207.0,371,,saishyam2512
2021-07-24 17:04:40,0,False,1418980462144405512,en,0,@mirabai_chanu @Media_SAI @IndiaSports @RailMinIndia @iosindiaoff @virenrasquinha @imrahultrehan Well done sister..… https://t.co/6q8sVVuyqD,2010-05-20 15:30:51,"Busy building my empire..
A writer in making.",25.0,148,"Pune, India",debrajd19
2021-07-24 17:04:35,0,False,1418980442951360522,en,0,Don't loose your heart and #ChakDeIndia - Show the world our #NariShakti #WomenPower and Go Get them!!! #Olympics… https://t.co/hM4OdsII1p,2009-12-25 15:26:47,Spiritual Visionary #Digital #Innovation #AI #Robotic #IOT #AR #VR #Crypto #Cloud #SmartCity #CyberSecurity #Energy #Education #Health #Climate #FutureOfWork,1264.0,723,Global,sethusathya
2021-07-24 17:04:20,1,False,1418980381290909697,en,0,"Mirabai Chanu wins India’s first medal at Tokyo Olympics, she is from Manipur North East India will you still call… https://t.co/WIp8qEU8P7",2021-04-26 12:37:18,"""Does my dream have to be success?",4.0,1,,BarlingtonR
2021-07-24 17:04:12,0,False,1418980346998181894,en,0,"Tokyo 2020: India’s women’s doubles tennis players Sania Mirza, Ankita Raina depart for Olympics https://t.co/mczytgt5KV",2017-12-23 12:58:25,Daily dose of entertainment.,41.0,1,,livdose
2021-07-24 17:04:11,0,False,1418980340379443203,en,0,"India’s first medal at the Olympics.

Congratulations @mirabai_chanu for winning the glorious silver…YOU make us so… https://t.co/JxFYuBUjsx",2020-01-30 17:18:15,"Graphic Designing | 3D Animation | Branding | Digital Marketing | Social Media Marketing | Video| E-Invitation Cards | Printing Company, and marketing through g",3.0,45,"Indore, India",quirk_think
2021-07-24 17:04:06,0,False,1418980319462453248,en,0,Mirabai Chanu Reacts After Winning India's First Silver at #Tokyo Olympics | #Weightlifter Watch at https://t.co/DxI0RkTEd5 @mirabai_chanu,2021-02-21 15:42:41,I am here to tell you interesting stories backed with proper information.,9.0,170,Hyderabad,IndependentJo11
2021-07-24 17:04:02,0,False,1418980303507542020,en,0,"#India has won the first medal.
At the #TokyoOlympics2021 
 In the 49-kg weight category
 Weightlifting competition… https://t.co/ZP1piX26ud",2009-07-13 16:00:20,"The official #TNYouthParty Twitter account |
https://t.co/ictlUUjIGx|கட்சியில் இணைய https://t.co/edsusMRYnS என்ற இணையதளத்தில் பதியவும்.",6887.0,116,"Chennai, India",TNYParty
2021-07-24 17:04:00,0,False,1418980296125345797,en,0,"Men’s Hockey: 24th July
Pool A:
India 3-2 New Zealand
Argentina 1-1 Spain
Australia 5-3 Japan

Pool B:
Germany 7-1… https://t.co/GXe1FfBm9O",2009-10-16 06:57:04,"Amateur Photographer, Sports Enthusiast, Associated with EBRP & Sports Team of India",597.0,806,KOLKATA,babaighosh
2021-07-24 17:03:51,0,False,1418980256313004033,en,0,"Today Saikhom Mirabai Chanu won a silver medal 🥈 along with a billion hearts 💕

After a heartbreak at the Rio Olymp… https://t.co/vdbUFuv1To",2021-01-08 04:43:10,"Surgery Matlab Pristyn Care
30+ Cities ll 300+ Expert Doctors ll 50+ Diseases ll 
One of India's Most-Loved HealthCare brand",68.0,5,Gurgaon,pristyncare_
2021-07-24 17:03:50,12,False,1418980251636482059,en,10,"#Tokyo2020 Congratulations to Meerabhai who awarded India 🇮🇳 first medal 🥈 in the Olympics...
#Cheer4India… https://t.co/oalZRJBtmT",2020-04-06 18:19:48,"“Great things can be done by great sacrifice only”👉Love,power & Knowledge there is a complete life👈Like & RT’s are not Endorsement.",6624.0,5001, Aapno ke paas,syedshadabul
2021-07-24 17:03:41,0,False,1418980217671110663,en,0,And we wonder why India doesn’t win more medals at Olympics !!! @htTweets https://t.co/K8lc7c6XWf,2009-09-20 14:38:31,"Views Personal, RTs don’t imply endorsement. when life throws a Rahul at you, make it a Tewatia",225.0,299,,pseudosocialist
2021-07-24 17:03:40,0,False,1418980212117843968,en,0,"I have always been wowed by #Olympics. Going to Olympics Opening Ceremony is one of my greatest wishes. 
But I will… https://t.co/jargjaT5iH",2020-11-26 13:28:11,"Staying Curious!
I use this space as my repository of random thoughts.
Would love to talk to new people on irrelevant topics.",1.0,27,,BluePot62446480
2021-07-24 17:03:34,1,False,1418980187346198532,en,0,"Tokyo Olympics: As Team India marches holding the Tricolour in their hands, PM @narendramodi stands up to cheer for… https://t.co/SfSLXy9L0r",2019-01-19 18:21:17,𝙉𝙖𝙩𝙞𝙤𝙣𝙖𝙡𝙞𝙨𝙩 𝙁𝙞𝙧𝙨𝙩 🚩🇮🇳 .  . . 𝐀𝐜𝐭𝐢𝐯𝐞 𝐚𝐜𝐭𝐢𝐯𝐢𝐬𝐭 𝙆𝙪𝙩𝙘𝙝𝙝 𝐁𝐉𝐏..✌️𝐘𝐨𝐮𝐭𝐡 𝐀𝐜𝐭𝐢𝐯𝐢𝐬𝐭,639.0,615,Mandvi kutch,Rajesh__Gor
2021-07-24 17:03:33,16,False,1418980180484268034,en,6,"Mirabai Chanu, her Olympic earrings and a story of redemption:

""I thought of keeping an Olympic ring with me in 20… https://t.co/088YyKhzuQ",2017-09-26 10:57:49,"Live cricket scores, news, analysis and fun facts on all your favourite sports.",9201.0,27,"Noida, India",ITGDsports
